"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U9";"SIT8008BC-83-33E-10.000000_SIT";1;"SIT8008BC-83-33E-2.4576";;;
2;"U5,U2";"05-08-1699_ADI";2;"LT8333RDD-PBF";;;
3;"U1";"CP_32_12_ADI";1;"AD7124-8BCPZ";;;
4;"C23,C9,C5,C55,C8,C30,C15";"C_0402_1005Metric";7;"1u";;;
5;"FBX7,FBX3,gnd2,7.5v1,PSW1,gnd1,TP2,TP22,DIN1,DOUT1,FEF1,-3.8v1,TP1,5v1,33v1,SYNC1,CS1,SCLK1";"TestPoint_Pad_1.5x1.5mm";18;"~";;;
6;"C53,C33,C50,C39,C54,C38,C44,C45";"C_1206_3216Metric";8;"100n";;;
7;"R24";"R_0805_2012Metric";1;"2K";;;
8;"R6";"R_0805_2012Metric";1;"47K";;;
9;"C20,C11,C12,C21";"C_0603_1608Metric";4;"2.2u";;;
10;"R19";"R_0805_2012Metric";1;"430";;;
11;"C56";"R_1206_3216Metric";1;"47u";;;
12;"C43,C51,C34,C37,C31,C52,C40,C36,C49,C35,C48,C41,C47,C42,C32,C46";"C_0805_2012Metric";16;"10n";;;
13;"J1";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
14;"C57,C6";"C_0402_1005Metric";2;"4.7p";;;
15;"CR2,CR3";"DIODE_DFN1608D-2_NEX";2;"PMEG4020EPK_315";;;
16;"R44,R50,R20";"R_0805_2012Metric";3;"10";;;
17;"R3,R7";"R_0805_2012Metric";2;"68k";;;
18;"R34,R28,R38,R25,R31,R32,R33,R36,R22,R27,R29,R37,R30,R21,R35,R26";"R_0805_2012Metric";16;"100";;;
19;"D8,D16,D7,D2,D14,D9,D1,D4,D15,D3,D10,D6,D13,D11,D12,D5";"SOT-23";16;"BAT54S";;;
20;"U4";"DFN-12-1EP_3x3mm_P0.45mm_EP1.65x2.38mm_ThermalVias";1;"LT3094xDD";;;
21;"R14";"R_0805_2012Metric";1;"120K";;;
22;"R41,R45,R42,R48,R47,R39,R40,R46";"R_0805_2012Metric";8;"680";;;
23;"R5,R16,R1,R10,R13";"R_0805_2012Metric";5;"1M";;;
24;"C4,C25,C62,C14,C58,C10,C18,C28";"C_0603_1608Metric";8;".1u";;;
25;"R43";"R_0805_2012Metric";1;"10k";;;
26;"C13,C60,C24,C59,C1,C2,C19,C27,C17,C61";"C_0805_2012Metric";10;"10u";;;
27;"L5";"IC4_MSD7342-252MLB_COC";1;"2.5u";;;
28;"U7";"QSOP20_SIL";1;"SI8380PM-IU";;;
29;"R2,R11";"R_0805_2012Metric";2;"270K";;;
30;"R4,R8";"R_0805_2012Metric";2;"20k";;;
31;"C26,C22,C7";"C_0805_2012Metric";3;"4.7u";;;
32;"J2,J3";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08_Pin";;;
33;"L1";"IND_XGL4020_COC";1;"XGL4020-152MEC";;;
34;"L3,L4";"IND_NFZ18SM121SN10D_MUR";2;"NFZ18SM121SN10D";;;
35;"R23";"R_0805_2012Metric";1;"1k";;;
36;"U6";"RPi_Pico_SMD_TH";1;"Pico";;;
37;"R15";"R_0805_2012Metric";1;"33k";;;
38;"J4,J5";"PinHeader_1x01_P2.54mm_Vertical";2;"Pin";;;
39;"R18";"R_0805_2012Metric";1;"240";;;
40;"R49";"R_0805_2012Metric";1;"300";;;
41;"R17";"R_0805_2012Metric";1;"100k";;;
42;"R9";"R_0805_2012Metric";1;"39k";;;
43;"C29";"C_0402_1005Metric";1;"15p";;;
44;"C3";"C_0603_1608Metric";1;"680p";;;
45;"L2";"IND_742792040_WRE";1;"742792040";;;
46;"U11,U10";"DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm";2;"LT3045xDD";;;
47;"R12";"R_0805_2012Metric";1;"30k";;;
48;"C16";"C_0603_1608Metric";1;"1.5n";;;
